_Antwort-ID,Resume-Code,Start,Datum und Zeit,Teilnahmestatus,,"1. 1. Wie schätzen Sie den Geschäftsverlauf Ihres Unternehmens für die kommenden 6 Monate ein?,Entwicklung Geschäftsverlauf",2. 2. Erwarten Sie für 2013 gegenüber dem Vorjahr einen höheren Umsatz?,3. 3. Wie entwickelt sich der Mitarbeiterbestand Ihrer Unternehmung in den kommenden 6 Monaten?,4. 4. Bezüglich des wirtschaftlichen Umfelds: Welches sind die für Ihr Unternehmen grössten Herausforderungen für die kommenden 6 Monate?,5. 5. Plant Ihr Unternehmen in den nächsten 24 Monaten grössere Investitionen?,6. Allgemeine Bemerkungen können Sie hier angeben:,,8. Branche:,9. Anzahl Mitarbeitende:,10. Umsatz (fakultativ),11. Standortstadt /-gmeinde
4663439,b7418dd,23.01.13 08:49,23.01.13 08:51,teilgenommen und beendet,,4,ja,Keine Veränderung,"Konjunkturentwicklung in der Industrie, Exporte Maschinenindustrie, Wechselkursentwicklung CHF-EUR",nein,,,Elektrotechnik,84,,Lindau
4663457,109df3b,23.01.13 08:52,23.01.13 08:53,"teilgenommen, aber noch nicht beendet",,4,ja,Keine Veränderung,,,,,,,,
4663463,6a5ae0b,23.01.13 08:53,23.01.13 08:54,teilgenommen und beendet,,5,ja,Keine Veränderung,Beschaffung der notwendigen Liquidität für eine Ausweitung des Umsatzes.,nein,,,Factoring,5,,Effretikon
4663546,5c98499,23.01.13 09:08,23.01.13 09:11,teilgenommen und beendet,,7,ja,Keine Veränderung,Die Mitbewerber im Verdrängungsmarkt,nein,,,,,,
4663557,fbc136c,23.01.13 09:11,23.01.13 09:12,teilgenommen und beendet,,5,nein,Keine Veränderung,Neukundengewinnung - vor allem ausserhalb Winterthur,ja,,,,,,
4663581,703dea2,23.01.13 09:15,23.01.13 09:16,teilgenommen und beendet,,3,nein,Reduktion,,nein,,,Drogerie,7,,Effretikon
4663667,728b0c2,23.01.13 09:27,23.01.13 09:28,teilgenommen und beendet,,4,nein,Keine Veränderung,Preiskdruck,nein,,,Reisebüro,6,,Winterthur
4663716,b9c00f9,23.01.13 09:33,23.01.13 09:42,teilgenommen und beendet,,4,nein,Keine Veränderung,"Grösste Herausforderung ist bei gleicher Arbeit gleichen Aufwand die Preisstruktur beibehalten. Mehr machen als die anderen und die Serviceleistungen mindestens auf gleichem Niveau behalten, sowie nach unseren üblichen und gewohnten Kundenansprüchen. Kundenbetreuung verstärken und auch pflegen in engen zeitlichen Freiräumen.",nein,,,Messebau,14,,Tagelswangen
4663744,5352a4b,23.01.13 09:37,23.01.13 09:38,"teilgenommen, aber noch nicht beendet",,4,ja,Zunahme,,ja,,,,,,
4663830,5f45659,23.01.13 09:54,23.01.13 09:57,teilgenommen und beendet,,,ja,Keine Veränderung,"Meine Lage ist nicht sehr gut ich bin etwas versteckt, ich erhoffe mir dass die Stadt Winterthur, mehr offen wird was die Firmenwerbung anbelangt",nein,,,"Goldschmied, Silberschmuck",1,,Winterthur
4663852,f580ace,23.01.13 10:00,23.01.13 10:03,teilgenommen und beendet,,5,nein,Zunahme,"- Politische Entscheide im Zusmmenhang Schlüsselprojekte Verkehr, Kultur etc.; - Stadtfinanzen",ja,,,Baudienstleister,6'400 Total / davon 12 in Winterthur,,8400 Winterthur
4664057,067ec87,23.01.13 10:19,23.01.13 10:22,teilgenommen und beendet,,4,nein,Keine Veränderung,,nein,,,Bau / Bauabdichtungen,12,2.5 mio,Illnau-Effretikon
4664915,d21f2a7,23.01.13 11:53,23.01.13 11:56,teilgenommen und beendet,,5,nein,Keine Veränderung,Bewältigung der Aufträge vor allem im Frühjahr und auch den Rest des Jahres auslasten.,nein,,,Gartenbau,4,,Wiesendangen
4664946,1188dd2,23.01.13 11:56,23.01.13 11:59,teilgenommen und beendet,,5,nein,Keine Veränderung,Stabiler Euro,nein,,,Handel,8,3000000,Winterthur 8411
4665284,6448a67,23.01.13 12:36,23.01.13 12:40,teilgenommen und beendet,,4,nein,Keine Veränderung,Margendruck; ; Verdrängungskampf; ; Optimale Auslastung erreichen,ja,,,Dienstleistungen,200,45 Mio,winterthur
4665314,a0e498f,23.01.13 12:40,23.01.13 12:44,teilgenommen und beendet,,5,ja,Zunahme,. Rekrutierung von gutem Fachpersonal; . Preiskampf in der Baubranche,ja,,,Baubranche Heizung Lüftung Kälte,35,14 Mio,"Winterthur, St. Gallen, Luzern"
4665652,3fea80d,23.01.13 13:18,23.01.13 13:20,teilgenommen und beendet,,4,ja,Keine Veränderung,Integrierung einer aqkuirierten Unternehmung.; Technologieshift,nein,,,Beleuchtungstechnik,65,,Töss/Bern-Belp
4666405,74a2bbe,23.01.13 14:17,23.01.13 14:21,teilgenommen und beendet,,4,ja,Keine Veränderung,"Wirtschaftswachstum in China und in Brasilien; Wechselkursparitäten des CHF mit den wichtigsten Geschäftswährungen (Euro, USD, GBP).",nein,,,Metallverarbeitende Industrie,18000,ca. 4 Mrd. CHF,Winterthur
4666942,e95aa76,23.01.13 14:48,23.01.13 14:49,"teilgenommen, aber noch nicht beendet",,5,,Keine Veränderung,,,,,,,,
4667138,8379d03,23.01.13 15:02,23.01.13 15:12,teilgenommen und beendet,,5,ja,Keine Veränderung,Einkaufstourismus,ja,,,Detailhandel,knapp 9000,"ca. 2,3 Mrd. CHF",Gossau SG
4667170,0f14799,23.01.13 15:04,23.01.13 15:07,teilgenommen und beendet,,5,nein,Keine Veränderung,"Personal finden, damit die Abgänge ersetzt werden können",ja,,,Elektroinstallationen,20,,Neftenbach
4668295,8bb566c,23.01.13 16:18,23.01.13 16:19,"teilgenommen, aber noch nicht beendet",,5,ja,Keine Veränderung,,nein,,,,,,
4668946,5ae1b96,23.01.13 17:01,23.01.13 17:03,teilgenommen und beendet,,4,nein,Keine Veränderung,Qualifiziertes Personal finden (limitierender Faktor bei Geschäftsentwicklung)!,nein,,,"Treuhand, Steuerberatung",8,,Winterthur
4668985,482d28e,23.01.13 17:03,23.01.13 17:07,teilgenommen und beendet,,5,ja,Zunahme,Geeignetes Personal finden,nein,,,Dienstleistung,146,,Winterthur
4670192,bcfd211,23.01.13 18:36,23.01.13 18:37,teilgenommen und beendet,,4,ja,Zunahme,,nein,,,gastgewerbe,18,,winterthur wülflingen
4670561,b00ab5a,23.01.13 19:01,23.01.13 19:04,teilgenommen und beendet,,3,nein,Keine Veränderung,Einen neuen Auftraggeber zu finden (Zahnarzt).,nein,,,Zahntechnisches Labor,1 Frau Betrieb,,8353 Elgg
4675064,7e4ab24,24.01.13 07:14,24.01.13 07:15,"teilgenommen, aber noch nicht beendet",,7,nein,Keine Veränderung,,,,,,,,
4675286,6b7312b,24.01.13 08:23,24.01.13 08:25,"teilgenommen, aber noch nicht beendet",,5,nein,Keine Veränderung,Preisdruck,nein,,,,,,
4676867,9edea9b,24.01.13 11:28,24.01.13 11:29,"teilgenommen, aber noch nicht beendet",,4,ja,Keine Veränderung,,nein,,,,,,
4677305,d1ed963,24.01.13 11:57,24.01.13 12:03,teilgenommen und beendet,,4,ja,Keine Veränderung,überbordende Vorschriften / Abgaben Strassenverkehr ; Bürokratismus in diversen Ämtern,ja,,,Umzug / Transport,6,,Lindau ZH
4677438,5b9aebc,24.01.13 12:07,24.01.13 12:08,"teilgenommen, aber noch nicht beendet",,5,ja,Keine Veränderung,,,,,,,,
4677567,12639ef,24.01.13 12:18,24.01.13 12:22,teilgenommen und beendet,,5,nein,Keine Veränderung,"- Gute Mitarbeiter halten; - Vorteile des Arbeitsort Winterthur gegenüber Arbeitsort Zürich erhalten (Parkplatzverordnung, gute Zugänglichkeit aus dem Weinland und Ostschweiz); - Verkehrsbelastung Nordumfahrung Zürich; - Plötzlicher starker Baukonjunktureinbruch wegen Überhitzung",nein,,,Bauzulieferer,300,,Winterthur
4678184,79bdf38,24.01.13 12:58,24.01.13 13:02,teilgenommen und beendet,,5,ja,Keine Veränderung,Preisentwicklung/-druck; Entwicklung Industriebetriebe/Export,ja,"Rasche Entscheidungswege innerhalb der Verwaltung sind notwendig, dass Bau- und Expansionprojekte rasch realisiert werden können. Das sich rasch verändernde Umfeld zwingt die Unternehmer auch rasch reagieren zu können. Politik und Verwaltung sind diesbzüglich zu träge.",,Detailhandel,210 ganze Gruppe / 130 Standorte Winterthur,ca 60 Mio,Winterthur
4679304,bf75b45,24.01.13 14:22,24.01.13 14:23,teilgenommen und beendet,,3,nein,Reduktion,"Eurosituation, Abwandern der Aufträge nach Deutschland",nein,,,Grafische Branche,140 (Druck),,Winterthur
4679584,708a076,24.01.13 14:34,24.01.13 14:35,"teilgenommen, aber noch nicht beendet",,5,nein,Keine Veränderung,,nein,,,,,,
4680803,27d247a,24.01.13 15:34,24.01.13 15:35,teilgenommen und beendet,,4,nein,Keine Veränderung,,nein,,,Elektroinstallation,3,,Winterthur
4682060,6ab3c7d,24.01.13 16:39,24.01.13 17:08,teilgenommen und beendet,,4,ja,Keine Veränderung,Margendruck / Preiskampf,nein,,,Laden- und Innenausbau,140,,Illnau-Effretikon
4682861,8aabbbd,24.01.13 17:21,24.01.13 17:33,teilgenommen und beendet,,3,nein,Zunahme,Stagnierender bis schrumpfender Markt in der Schweiz.; Starke Konkurrenz in Westeuropa.,nein,,,Umwelt (Wasser und Abwasser),41,ca. 30 Mio,Winterhur
4682891,e6c5bf4,24.01.13 17:22,24.01.13 17:26,teilgenommen und beendet,,5,nein,Keine Veränderung,Dass die Börse wieder stärker wird und unsere Kunden das Geld wieder dort vernichten.....,nein,,,Haustechnik,3,ca. 750000.-,8352 Elsau
4683149,8bdfc8b,24.01.13 17:35,24.01.13 17:37,teilgenommen und beendet,,4,nein,Keine Veränderung,Umsatzwachstum; Mitarbeiterrekrutierung,nein,,,"Treuhand, Steuern, Revision",2,400000,Winterthur
4688956,5b70a69,25.01.13 08:19,25.01.13 08:22,teilgenommen und beendet,,6,ja,Zunahme,Internetkonkurrenz (Online-Shops); Neue und zusätzliche Mitarbeiter/-innen einbinden und Fachwissen rund um die Wandbeläge nahe bringen,nein,,,"Handel mit Tapeten, Wandbelägen, Vorhangsystemen und englischen Farben",7,"3,2 Mio.",Winterthur
4689217,b05ded1,25.01.13 08:47,25.01.13 08:50,teilgenommen und beendet,,4,ja,Keine Veränderung,Tiefe Margen,ja,,,Bauhauptgewerbe,300,,
4690622,2ee286a,25.01.13 10:38,25.01.13 10:55,teilgenommen und beendet,,4,nein,Keine Veränderung,Keine (Umfeld ist gut),nein,,,Bau und Planung,12,,Winterthur
4693039,b50d379,25.01.13 13:25,25.01.13 13:27,teilgenommen und beendet,,3,nein,Keine Veränderung,Preiserosion,nein,,,Grafische Branche,87,,Winterthur
4693171,87bd9a6,25.01.13 13:33,25.01.13 13:35,teilgenommen und beendet,,4,ja,Zunahme,Kostendruck,ja,,,Getränke,110,,Winterthur
4697012,08e6fd6,25.01.13 18:36,25.01.13 18:46,teilgenommen und beendet,,5,ja,Keine Veränderung,Personelle Ressourcen d.h. die richtigen Leute am richtigen Platz,ja,,,Institution für Menschen mit Beeinträchtigung,250 Plätze für Menschen mit Behinderung; 100 Angestellte,ca. 6 Mio.,Winterthur
4698685,e608d61,25.01.13 21:55,25.01.13 21:57,teilgenommen und beendet,,5,nein,Keine Veränderung,Wachsende Konkurrenz; Mithalten im Markt,ja,,,Gastgewerbe,30,,Illnau
4700598,1767d37,26.01.13 10:10,26.01.13 10:12,"teilgenommen, aber noch nicht beendet",,,nein,Reduktion,Aufwertung des Standortes.,nein,,,,,,
4700614,cba578b,26.01.13 10:13,26.01.13 10:29,teilgenommen und beendet,,,nein,Keine Veränderung,"Sicherung der Lehrstellen und der Arbeitsplätze.; Aufwertung des Standortes. Bessere Leitung und Strassenführung des Verkehrs bei der Baustelle Supperblock. ; Besserer Kontakt mit den Instanzen.; ; Bessere Wahrnehmung unseres Unternehmens durch die Stadtverwaltung, die uns bisher kaum Aufträge vergeben hat.",nein,"Die Fussgängerführung inkl. Markierung von der Altstadt aus ist nicht existent. ; ; Das Tourismusmarketing ist einseitig auf die Altstadt und auf die Museen ausgerichtet.; ; Wo steht beim Bahnhof Süd oder sonst in der Altstadt ein Wegweiser ""Sulzerareal""???; ; Für die Fussgängerstreifen an der Zürcherstrasse muss die Grünschaltung dringend verbessert werden.; ; Die Standortförderung hat uns bisher als Pioniere im Sulzerareal weder wahrgenommen noch unterstützt.",,"Blumen, Pflanzen, Wohnkultur",6,noch keine aktuellen Kennzahlen,8400 Winterthur
4701350,35eadbf,26.01.13 11:37,26.01.13 11:40,teilgenommen und beendet,,5,ja,Zunahme,Durchhalten...,nein,,,Vermietung und Verkauf von Dekomaterial,3,,Elgg
4708866,3a1419a,27.01.13 12:21,27.01.13 12:25,teilgenommen und beendet,,5,ja,Zunahme,"Bei Leuten, welche entlassen wurden die Motivation hoch halten! Führungskräfte in den schwierigen Kommunikationen unterstützen und dabei selber den Optimismus beibehalten. Ausbildung einer Berufspraktikantin",nein,,,Schulungen & Coaching & Pers.-Entwicklung,2 Teilzeit,,Winterthur
4711308,ee782a3,27.01.13 16:51,27.01.13 16:53,teilgenommen und beendet,,4,ja,Keine Veränderung,Wetterbedingungen. Wirtschaftslage,nein,,,Gartenunterhalt,1,ca. 110000,Rickenbach ZH
4713002,0f65e4f,27.01.13 19:16,27.01.13 19:18,teilgenommen und beendet,,5,ja,Keine Veränderung,Preisdruck innerhalb der Mitbewerber,nein,,,Versicherung,25,24 Mio,Winterthur
4716365,7ae988b,28.01.13 07:33,28.01.13 07:34,teilgenommen und beendet,,4,ja,Zunahme,Im gesättigten Markt weiter Wachsen; Geografisches Neuland,ja,,,Immoblienbewirtschaftung,70,,Winterthur; Rüti (ZH); Altenrhein (TG)
4716373,ac25c02,28.01.13 07:34,28.01.13 07:37,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Bauunternehmung,70,,Effretikon
4716857,cc82793,28.01.13 08:39,28.01.13 08:40,teilgenommen und beendet,,4,nein,Keine Veränderung,Regulatorien seitens Finma und eidg. Finanzdepartement.,nein,,,Finanzdienstleistung,9,,Winterthur
4717073,9c65887,28.01.13 08:59,28.01.13 09:00,"teilgenommen, aber noch nicht beendet",,5,ja,Keine Veränderung,,,,,,,,
4717199,3caf976,28.01.13 09:12,28.01.13 09:14,teilgenommen und beendet,,5,nein,Keine Veränderung,Den vorhandenen Markt besser abzuschöpfen.,ja,,,Technische Dienstleistungen,5,"1,5 Mio",Winterthur Töss
4718376,e85303a,28.01.13 10:55,28.01.13 10:57,teilgenommen und beendet,,3,nein,Reduktion,"Preisdruck,; Rückgang des Konsum",ja,,,Konsumgüter,900,,"Luzern, Winterthur"
4718583,55aca33,28.01.13 11:14,28.01.13 11:15,"teilgenommen, aber noch nicht beendet",,5,ja,Keine Veränderung,,nein,,,,,,
4718804,da7b3f3,28.01.13 11:37,28.01.13 11:40,teilgenommen und beendet,,4,ja,Keine Veränderung,"Umsatz halten, neue Kunden generieren.",nein,,,2-Rad,1,,Zell
4719839,e68f55c,28.01.13 13:05,28.01.13 13:08,teilgenommen und beendet,,6,nein,Keine Veränderung,- Rekrutierung qualifizierter Mitarbeiter; - Nachhaltige Akquisition; - Kontinuität Umsatz/Ertrag,nein,,,Architektur,14,-,Winterthur
4721040,0dfbdfb,28.01.13 14:19,28.01.13 14:22,teilgenommen und beendet,,3,nein,Keine Veränderung,"Die Euroschwäche oder Frankenstärke, da wir ein exportorientiertes Unternehmen sind. Ferner wird es immer schwieriger qualifizierte Werkstattmitarbeiter (ANAP's) zu finden. Diese müssen wir selber ausbilden.",nein,,,Anlage- und Apparatebau,75,,Elgg
4721497,b925c6f,28.01.13 14:52,28.01.13 14:54,teilgenommen und beendet,,1,nein,Reduktion,Den Umsatz halten oder nicht zuviel verlieren.,nein,,,Detaillhandel,21,2100000,Wiesendangen
4721524,3298d10,28.01.13 14:54,28.01.13 14:57,teilgenommen und beendet,,4,ja,Keine Veränderung,"An Aufträge zu kommen, was teilweise erschwert wird durch neu auf dem Markt auftretende neue Mitbewerber (Boombranche kur vor der Wende?)",nein,,,Immobilienhandel,1,,Seuzach
4727792,8276c40,28.01.13 21:43,28.01.13 21:46,teilgenommen und beendet,,4,ja,Zunahme,Entwicklung der Automobilindustrie. EURO-CHF-Kurs.,nein,,,Industrie,500,,Winterthur
4730624,2a73aa5,29.01.13 09:12,29.01.13 09:13,teilgenommen und beendet,,4,nein,Keine Veränderung,Zinsentwicklung/Wohnsituation/,nein,,,Versicherung,23,30 Mio,Winterthur
4730901,44b4785,29.01.13 09:47,29.01.13 09:48,"teilgenommen, aber noch nicht beendet",,4,ja,Zunahme,,nein,,,,,,
4736609,c2758ca,29.01.13 17:24,29.01.13 17:27,teilgenommen und beendet,,6,ja,Zunahme,gewerblich nutzbare Areale für Werkhof zu finden; Preisdruck bei Offerten,nein,,,Gartenbau,5,,8404 Winterthur
4737466,eb1f884,29.01.13 18:27,29.01.13 18:29,teilgenommen und beendet,,4,ja,Keine Veränderung,Eine gute und regelmässige Auslastung unserer Mitarbeiter,nein,,,IT & Internet,22,,Winterthur
4741962,4aa9b48,30.01.13 07:14,30.01.13 07:16,teilgenommen und beendet,,5,ja,Keine Veränderung,- Lieferfristen einzuhalten auf stark nachgefragten Fahrzeugen.; - Gesamtheitliche Auslastung,nein,,,Autogewerbe,8,5000000,Winterthur
4753309,fd20799,31.01.13 06:08,31.01.13 06:10,teilgenommen und beendet,,6,ja,Zunahme,Geeignetes Personal zu finden.; arbeitsspitzen im Sommer zu bewältigen.,nein,,,Elektroinstallationen,40,7`000`000.00,Winterthur
4753496,b07603a,31.01.13 07:24,31.01.13 07:34,teilgenommen und beendet,,5,nein,Zunahme,- flaue Konjunktur; - harter Konkurrenzkampf im Elektroinstallationsgewerbe,nein,,,Elektroinstallationen,15,,Winterthur
4766987,ac172ab,01.02.13 12:04,01.02.13 12:05,teilgenommen und beendet,,5,nein,Keine Veränderung,Kurze Reaktionsfristen,nein,,,Public Relations,4,,Winterthur
4770405,db4874b,01.02.13 16:17,01.02.13 16:20,teilgenommen und beendet,,5,nein,Keine Veränderung,"Die Veränderungen im Markt und neue Marktteilnehmer, sowie der Druck von Anbietern aus der EU",ja,,,Bauhandel,80,40 Mio.,5 Standorte auf Stadtgebiet
4804390,9d9411f,04.02.13 20:54,04.02.13 20:59,teilgenommen und beendet,,5,nein,Keine Veränderung,Personalrekrutierung,nein,Zur Zeit sehr gute Auslastung im Bauingenieurwesen. Öffentlicher Bau ist zur Zeit sehr aktiv.,,Bauingenieure Hoch- und Tiefbau,12,,Winterthur
4809331,25ee10c,05.02.13 07:58,05.02.13 08:01,teilgenommen und beendet,,4,ja,Keine Veränderung,Mitbewerbersituation ist halsbrecherisch,nein,Abwarten mit grösseren investitionen zb. Bauvorhaben,,Handel und Dienstl.,15,5 Mio,Fehraltorf
4821070,b5b6008,05.02.13 22:40,05.02.13 23:06,teilgenommen und beendet,,4,ja,Keine Veränderung,Unsere (meine) Dienstleistung bekanntzumachen und die Kundenbasis zu verbreitern.,nein,,,Unternehmensnahe Dienstleistung,1 fest plus Netzwerk nach Bedarf,"0,2 Mio CHF",Winterthur
4824219,5d15372,06.02.13 11:07,06.02.13 11:09,teilgenommen und beendet,,2,nein,Reduktion,generierung neuer aufträge,nein,,,Architektur,11,CHF 1.5 Mio.,Winterthur
4836529,0eb4f19,07.02.13 10:24,07.02.13 10:27,teilgenommen und beendet,,4,nein,Reduktion,"Geeignete Mitarbeiter einstellen zu können, leider sind viel zu wenig Fachkräfte auf dem Markt",nein,,,Nutzfahrzeug-Garage,10,,Winterthur
